N,threads,serial_us,pthread_scalar_us,pthread_scalar_speedup,pthread_scalar_err,pthread_neon_us,pthread_neon_speedup,pthread_neon_err,openmp_scalar_us,openmp_scalar_speedup,openmp_scalar_err,openmp_neon_us,openmp_neon_speedup,openmp_neon_err
1024,1,471479.000,454598.250,1.037,0.000,173716.250,2.714,0.000,441477.750,1.068,0.000,181537.000,2.597,0.000
1024,2,471479.000,593266.500,0.795,0.000,184566.250,2.555,0.000,217035.500,2.172,0.000,81475.750,5.787,0.000
1024,4,471479.000,447093.000,1.055,0.000,245890.750,1.917,0.000,120061.500,3.927,0.000,43608.500,10.812,0.000
1024,8,471479.000,347102.250,1.358,0.000,184635.750,2.554,0.000,68712.250,6.862,0.000,24337.500,19.373,0.000
