N,threads,serial_us,pthread_scalar_us,pthread_scalar_speedup,pthread_scalar_err,pthread_neon_us,pthread_neon_speedup,pthread_neon_err,openmp_scalar_us,openmp_scalar_speedup,openmp_scalar_err,openmp_neon_us,openmp_neon_speedup,openmp_neon_err
1500,1,1420273.750,1408339.000,1.008,0.000,528062.250,2.690,0.000,1438950.000,0.987,0.000,530220.500,2.679,0.000
1500,2,1420273.750,1528648.250,0.929,0.000,930761.750,1.526,0.000,684814.250,2.074,0.000,304200.250,4.669,0.000
1500,4,1420273.750,1718470.500,0.826,0.000,838660.750,1.694,0.000,349216.750,4.067,0.000,182393.250,7.787,0.000
1500,8,1420273.750,1212344.500,1.172,0.000,559914.500,2.537,0.000,210078.000,6.761,0.000,150412.500,9.443,0.000
